Naam deelnemende onderneming,straat en huisnummer,objectbeschrijving,Kolom2,Kolom22,Kolom3
A.J. Prins,Choorstraat 4,RFID met ontvanger verbonden door LED stip,"Waarom?
Volledig batterij- en draadloos gebruik van CRFID's (tags voor Computationele RadioFrequentie-Identificatie) is nog niet mogelijk,
want voor het programmeren van CRFID’s is een kabel nodig en het is moeilijk om gegevens van een scanner naar CRFID’s te sturen.
Hoe?
Przemysław ontwikkelde het Wisent-communicatieprotocol dat bovenop het commerciële UHF RFID-communicatieprotocol functioneert. 
Dit protocol stelt de RFID-scanner in staat om de CRFID te (her)programmeren, ook wanneer deze al is geplaatst/geïntegreerd.
Wanneer?
Toekomstige CRFID's zullen in staat zijn om met elkaar te communiceren en zo een netwerk te vormen. 
Daardoor worden ze functioneler en kunnen ze op grotere schaal worden gebruikt en zal er nog meer behoefte komen aan protocollen als Wisent.
","Why?
Truly battery-/wireless implementation of CRFIDs is inhibited by the need for a cable to program the CRFID and the difficulty in streaming data from a reader to the CRFID.
How?
Przemysław developed the Wisent communication protocol that operates on top of the commercial UHF RFID communication protocol. It enables the RFID reader to (re)programme the CRFID even when it's already implanted/embedded.
When?
Future CRFIDs will be able to form a network by communicating with each other. This extends their reach and functionality, bringing even more need for protocols such as Wisent.
","Dr. Przemyslaw
Jethro Tan Msc
Henko Aantjes
Amjad Majid Msc"
Boederij zuivel en meer,Oude Kerkstraat 3,Zelfherstellend asfalt,"Zelfherstellend asfalt
Waarom?
Veroudering van asfaltwegen kan worden tegengegaan met een verjongingsmiddel. Maar als dit middel wordt aangebracht als een spray, heeft dit alleen effect op de toplaag. Daarom is gekozen voor verjongingscapsules in het asfalt die het asfalt verjongen wanneer dat nodig is.
Hoe?
De capsules die het verjongingsmiddel bevatten meten 1,8 mm en zijn gemaakt van een goedkoop en makkelijk te verwerken alginaat. Wanneer er bij een capsule een microscheur ontstaat, breekt de capsule en lekt het verjongingsmiddel eruit, waardoor het asfalt wordt gevuld en gerepareerd.
Wanneer?
De capsules zijn inmiddels bestand tegen het volledige productieproces van een asfaltweg en in het laboratorium is aangetoond dat ze goed werken. Op dit moment wordt onderzocht hoe de capsules het best kunnen worden ingebracht.
","Self-healing asphalt
Why?
Aging of asphalt roads can be countered by applying a rejuvenator. While a spray of asphalt rejuvenator only penetrates the top layer, these rejuvenator capsules in the asphalt concrete can rejuvenate the asphalt where and when necessary.
How?
The 1,8 mm capsules are made of a cheap and easy to process alginate, containing the rejuvenator in their matrix. When a micro crack occurs across the capsule, the matrix breaks and the rejuvenator leaks out, filling and repairing the asphalt.
When?
The capsules are already able to withstand the entire production process of an asphalt road, and their result has been proven on lab scale. The details of the application method are being investigated.
","Shi Xu MSc  
Prof.dr.ir. Erik Schlangen"
Galerie XS,Voorstraat 16,Opengemaakt harde schijf van een laptop,"Een harde schijf, van het Engelse hard disk drive of HDD, is een vorm van extern geheugen, een elektromechanisch computeronderdeel  waarop gegevens bewaard kunnen worden. 
Met de aanduiding harde schijf kan men de eigenlijke schijf bedoelen waarop in de vorm van magnetische polarisatie de gegevens zijn geschreven, 
maar meestal bedoelt men het hele apparaat met schijven, lees- en schrijfkoppen en besturingselektronica, samen in een behuizing.
In IT-documentatie wordt de term vaste schijf gebruikt, omdat de schijf vast in de computer gemonteerd wordt. De gegevens zijn permanent, 
in tegenstelling tot het vluchtige random-acces memory (RAM), en blijven ook bewaard als de computer uit staat. 
Een harde schijf is tegenwoordig altijd voorzien van een besturingseenheid, de controller. Dit is een elektronische schakeling die de toegang tot de data op de schijf regelt. (bron: wikipedia)","The inside of a ‘hard drive’
Where was it? 
 In a PC
What is it for?
 Storing programs and data
How much can it hold? 
 500 MB 
How does it work?
The unit consists of 2 double-sided disks, meaning it features 4 read/write heads. The disk surfaces are made from a magnetisable material. They spin at high speed on their spindles. The heads can magnetise very small areas and read them again. A mobile arm moves the heads to the right places.
How fast does it go?  
7200 RPM
","Studieverzameling
Faculteit Ewi/TUDelft"
Stads-Koffyhuis,Oude Delft 133,Ronddraaiende windturbine met verschillende geluidsfragmenten,"Waarom?
Het geluid dat de wind over de bladen van windturbines maken is hinderlijk. 
Daardoor kunnen ze niet op elke plek worden geplaatst en is de energieproductie beperkt, en dat zorgt weer voor hogere kosten van de opgewekte energie.
Een geluidsreductie van 1dB maakt een vergroting van de energieproductie mogelijk met 2 tot 4%.
Hoe?
Hard schuim uit de 3D-printer wordt aangebracht op de achterrand van de bladen, en dat fungeert als een effectief geluidsdempingssysteem dat de 
hydrodynamische stroming en de akoestische verstrooiing verandert en de drukfluctuaties op het oppervlak dempt. 
Wanneer?
Het huidige onderzoek is gericht op de invloed van de vorm, grootte, en verspreiding van de poriën op de hydrodynamische/akoestische efficiëntie en
de invloed van omgevingsfactoren (bijvoorbeeld: stof) op de akoestische prestaties op de lange termijn. 
Over 4 jaar moet er een volledig ‘proof of concept’ zijn (een werkend prototype).
","Why?
Aerodynamic noise of wind turbines is annoying, limiting their energy production and location, thereby increasing the cost of energy. Energy production might increase with 2 – 4% by 1 dB noise reduction.
How?
3D printed rigid foams, retrofitted at the trailing edge of blades, serve as an all-in-one noise mitigation system by altering the hydrodynamic flow field, modifying the acoustic scattering and dampening the surface pressure fluctuations.
When?
Current research focuses on the effect of pore shape, size and distribution on the hydrodynamic/acoustic efficiency, and the effect of environmental factors (i.e., dust) on the long-term acoustic performances. A full-scale proof of concept is due in 4 years.
","Dr. Francesco Avallone
Dr. Daniele Ragni
Alejandro Rubio Carpio Msc
Dr. Mirjam Snellen"
Koffie & Zo Delft,Peperstraat 17,Simplex Spiegelgalvanometer,"Frabrikaat:   Nederlandsche Optiek- en Instrumentenfabriek Dr. C.A. Bleeker
Jaartal:   ca 1950
Doel:   Het meten van hééél kleine stroompjes
Wat zit erin?
1. Een dunne draad met spoeltje, waarop een heel klein spiegeltje is geplakt 
2. Een sterke magneet
Hoe werkt het? Als er een klein stroompje door het spoeltje gaat, draait het spoeltje en dus ook het spiegeltje
Hoe zie je dat? Via een prisma stuur je een lichtstraal naar het spiegeltje
Het weerkaatste licht gaat naar het projectiescherm en geeft daar een lichtvlek
En dan? Als het spiegeltje draait (door het stroompje) verschuift de lichtvlek
Dus? … kun je zien dat er een (heel klein) stroompje loopt. Slim, hè?
Leuk om te weten: Met zo’n ding maakte Willem Einthoven in 1903 het allereerste Electrocardiogram (“hartfilmpje”) 
","Measurement instrument: Simplex mirror galvanometer
Manufacturer:    Nederlandsche Optiek- en Instrumentenfabriek, Dr C.A. Bleeker
Year:    ca. 1950
Objective:   Measurement of extreeemely low currents
What’s in it?
1. A thin wire with a coil, onto which a tiny mirror is bonded
2. A strong magnet
How does it work?
When a low current flows through the coil, the coil turns, which also turns the mirror.
How can you see it?
You use a prism to send a beam of light to the mirror.
The reflected light goes to the projection screen and shows a spot of light.
And then?
As the mirror turns (due to the current), the light spot shifts.
So?
… you can see that a (very low) current is flowing. Neat, huh?
Fun fact:
In 1903 Willem Einthoven used just such a gadget to make the first electrocardiogram (‘ECG’).
","Studieverzameling 
Faculteit EWI/TUDelft"
Van Loenen Horlogerie Stadsuurwerkmaker,Markt 63,chirurgische schaar,"De steerable punch is een chirurgisch instrument om beschadigde delen (scheuren) van de meniscus in de knie weg te knippen. 
Dit gebeurt doormiddel van een laparoscopische operatie (kijkgat). 
De tip van de punch is stuurbaar waardoor ook de moeilijk te bereiken plekken van de meniscus bereikt kunnen worden. 
Een tweede speerpunt van de punch is dat de tip gedemonteerd kan worden voor betere schoonmaak.","The steerable punch is a surgical instrument for cutting away damaged parts (tears) in the meniscus of the knee. 
This is performed in a laparoscopic operation (keyhole). 
The tip of the punch is steerable so it can reach even the difficult-to-access parts of the meniscus. 
Another benefit of the punch is that the tip is detachable for more thorough cleaning.
","Audry Zoncsich, MSc"
Milo Design Gifts,Markt 83,Ampere meter,"Fabricaat:  Hartman & Brown (Duitsland)
Jaartal: ca 1945
Doel:  Het meten van heel kleine stromen.

Wat zit erin?
1. Een sterke magneet
2. Een spoeltje van dun draad 
3. Een wijzer, die aan het spoeltje vast zit
Hoe werkt het?
Als er een klein stroompje door het spoeltje gaat, draait het spoeltje en dus ook de wijzer
Wat kun je er mee?
Je kunt er heel kleine stroompjes mee meten. Omdat de wijzer in het midden staat, kun je positieve en negatieve stroom meten.
Waar gebruik je hem voor?
Het vergelijken van een onbekende spanning met een bekende spanning.
","Measurement instrument:  Microammeter
Manufacturer:  Hartman & Brown (Germany)
Year:    ca. 1945
Objective:  Measurement of very low currents.
What’s in it?
1. A strong magnet
2. A coil of thin wire 
3. An indicator, attached to the coil
How does it work?
When a low current flows through the coil, the coil turns, which also turns the indicator.
What can you do with it?
You can measure very low currents. Because the indicator is in the middle, you can measure positive or negative currents.
What do you use it for?
Comparing an unknown voltage to a known voltage.
","Studieverzameling 
Faculteit EWI/TUDelft"
No 13,Oude Langendijk 13,Exoskelet,"Deze mindwalker is een exoskelet (uitwendig skelet) dat eveneens bestaat uit motoren en
een stalen constructie. Het exoskelet zorgt ervoor dat mensen die vanaf hun middel verlamd zijn gewoon kunnen lopen en dus niet per definitie voortaan aan een rolstoel gekluisterd zijn.
Op vier voeten zou het vrij simpel zijn, maar overeind blijven op twee benen is niet eenvoudig. Lopen is verder ook een samenspel tussen denken en doen. 
Er moet sprake zijn van maximale samenwerking tussen mens en machine.

","The Mindwalker consists of an exoskeleton (external frame) incorporating motors and a steel structure. 
This should enable people paralysed from the waist down to walk again, so that they no longer have to rely upon wheelchairs.
With four legs this would be fairly simple to achieve, but keeping the Mindwalker and its wearer upright on two is not easy. 
And walking is an even greater challenge; there has to be full co-operation between man and machine.
",Project March
Bloemig,Peperstraat 38,plaat met bak met planten en print-ding,"Waarom?
Ons nieuwe productieproces voor het printen van flexibele elektronica maakt het mogelijk om hoogwaardig en chemisch stabiele kristallijn silicium te printen op flexibele, 
biologisch compatibele of afbreekbare substraten als papier.
Hoe?
Bij het nieuwe proces wordt gebruikgemaakt van een nieuwe ‘siliconeninkt’ die met uv-licht kan worden uitgehard en niet hoeft te worden verhit tot zeer hoge temperaturen, 
zoals bij traditionele processen het geval is. Omdat kristallijn silicium kan worden gebruikt, zijn slecht presterende en vaak giftige organische inkten niet meer nodig.
Wanneer?
Het proces is inmiddels ontwikkeld, geoptimaliseerd en gepatenteerd. Er zijn basale circuitcomponenten vervaardigd die veel betere prestaties leveren en chemisch stabieler zijn. 
De volgende stap is de ontwikkeling van een compleet sensorsysteem.
","Why?
Our new production process for printed flexible electronics makes it possible to print high performance chemically stable crystalline silicon on flexible, biocompatible or biodegradable substrates such as paper.
How?
The new process uses a novel ‘silicon ink’ that uses UV light to cure instead of the traditional very high temperatures. Because crystalline silicon can be used, there is no need for poor performing and often toxic organic inks.
When?
The process has been developed, optimised and patented. Basic circuit components have been fabricated, confirming superior performance and improved chemical stability. Next step is to develop a complete sensor system.
","Dr. Ryoichi Ishihara
Yuanxing Xu MSc 
Dr. Miki Trifunovic"
Meijer & Meijer,Markt 13,Diatomen als bouwstenen voor nieuwe materialen,"Waarom?
Diatomen zijn microscopisch kleine exoskeletten van silica met verschillende poreuze structuren op nanometer-/micrometerschaal die 
kunnen worden gebruikt als duurzame en kosteneffectieve dragers voor de gecontroleerde afgifte van actieve substanties.
Hoe?
Het vermogen van de exoskeletten om substanties op te slaan en vervolgens af te geven kan bijvoorbeeld worden gebruikt voor 
zelfherstellende antiroestcoatings, bouwmaterialen, de voedingsmiddelenindustrie en de gecontroleerde interne toediening van medicijnen.
Wanneer?
De volgende stap van het onderzoek is het bepalen van de invloed van de soortafhankelijke diatoomstructuur op de dynamica van de afgifte 
en hoe de structuur en de oppervlakte van de exoskeletten kunnen worden aangepast om deze dynamica te beïnvloeden.
","Why?
Diatoms are silica micro-sized exoskeletons which have various nano/micro porous architectures that can be used as sustainable and cost-effective carriers for the controlled release of active substances.
How?
The exoskeletons' ability to store and subsequently release substances can be used in for instance self-healing anti-corrosion coatings, building materials, the food industry, and controlled internal drug delivery.
When?
The next step in this research is to explore how the species-dependent diatom architecture influences the release kinetics, and how the architecture and surface of the exoskeletons can be adjusted to influence these release kinetics.
","Dr. Santiago Garcia 
Ir. Paul Denissen"
